Kingdom,Supergroup,Division,Class
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae
Eukaryota,Archaeplastida,Chlorophyta,Palmophyllophyceae
Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae
Eukaryota,Stramenopiles,Ochrophyta,Pelagophyceae
Eukaryota,Archaeplastida,Streptophyta,Embryophyceae
Eukaryota,Archaeplastida,Chlorophyta,Chloropicophyceae
Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta
Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae
Eukaryota,Alveolata,Dinoflagellata,Dinophyta_X
Eukaryota,Stramenopiles,Ochrophyta,Dictyochophyceae
Eukaryota,Alveolata,Dinoflagellata,NaN
Eukaryota,Hacrobia,Cryptophyta,Cryptophyceae
Eukaryota,Stramenopiles,Ochrophyta,NaN
Eukaryota,Stramenopiles,Ochrophyta,MOCH-2
Eukaryota,Archaeplastida,Chlorophyta,Prasino-Clade-9
Eukaryota,Stramenopiles,Ochrophyta,Chrysophyceae
Eukaryota,Stramenopiles,Ochrophyta,MOCH-5
Eukaryota,Stramenopiles,Ochrophyta,Bolidophyceae
Eukaryota,Alveolata,Dinoflagellata,Noctilucophyceae
Eukaryota,Hacrobia,Haptophyta,Haptophyta_X
Eukaryota,Archaeplastida,Chlorophyta,Pyramimonadales
Eukaryota,Stramenopiles,Ochrophyta,Phaeophyceae
Eukaryota,Stramenopiles,Ochrophyta,MOCH-3
Eukaryota,Archaeplastida,Chlorophyta,NaN
Eukaryota,Stramenopiles,Ochrophyta,MOCH-4
Eukaryota,Archaeplastida,NaN,NaN
Eukaryota,Archaeplastida,Chlorophyta,Prasino-Clade-V
Eukaryota,Hacrobia,Haptophyta,NaN
Eukaryota,Hacrobia,Haptophyta,Haptophyta_Clade_HAP2
Eukaryota,Rhizaria,Cercozoa,Chlorarachniophyceae
Eukaryota,Hacrobia,Haptophyta,Haptophyta_Clade_HAP3
Eukaryota,Archaeplastida,Chlorophyta,Chlorodendrophyceae
Eukaryota,Stramenopiles,Ochrophyta,Raphidophyceae
Eukaryota,Excavata,Discoba,Euglenozoa
Eukaryota,Hacrobia,Haptophyta,Haptophyta_Clade_HAP5
Eukaryota,Hacrobia,Haptophyta,Haptophyta_Clade_HAP4
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae
Eukaryota,Alveolata,Dinoflagellata,Ellobiophyceae
Eukaryota,Archaeplastida,Chlorophyta,Ulvophyceae
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X
Eukaryota,Archaeplastida,Streptophyta,NaN
Eukaryota:plas,Stramenopiles:plas,Ochrophyta:plas,Bacillariophyta:plas
Eukaryota:nucl,Hacrobia:nucl,Cryptophyta:nucl,Cryptophyceae:nucl
Eukaryota,Archaeplastida,Chlorophyta,Pyramimonadophyceae
Eukaryota,Archaeplastida,Prasinodermophyta,Prasinodermophyceae
Eukaryota,Archaeplastida,Chlorophyta,Prasino-Clade-VIII
Eukaryota,Archaeplastida,Chlorophyta,Trebouxiophyceae
Eukaryota,Hacrobia,Haptophyta,Rappephyceae
Eukaryota:plas,Archaeplastida:plas,Chlorophyta:plas,NaN
Eukaryota:plas,Excavata:plas,Discoba:plas,Euglenida:plas
Eukaryota,Hacrobia,Haptophyta,Rappephyceae
Eukaryota:plas,Archaeplastida:plas,Chlorophyta:plas,Chloropicophyceae:plas
Eukaryota,Stramenopiles,Ochrophyta,Ochrophyta_X
